session_id,user_id,age_group,gender,device,traffic_source,landing_page,session_duration_sec,pages_visited,bounce,conversion
869,1803,25-34,Male,Desktop,Direct,Product Page,110,4,0,1
870,1069,45-54,Female,Desktop,Social Media,Homepage,97,5,0,1
871,1251,45-54,Male,Mobile,Direct,Blog,165,3,0,1
872,1414,25-34,Male,Mobile,Social Media,Cart,300,5,0,1
873,1786,25-34,Male,Desktop,Organic Search,Pricing,331,7,0,1
874,1444,18-24,Female,Tablet,Paid Ads,Cart,199,4,0,1
875,1875,55+,Male,Desktop,Organic Search,Pricing,184,4,0,1
876,1181,55+,Male,Mobile,Direct,Pricing,535,7,1,1
877,1166,35-44,Female,Desktop,Organic Search,Product Page,87,8,0,1
878,1090,45-54,Female,Mobile,Organic Search,Product Page,321,6,0,1
879,1713,35-44,Female,Mobile,Social Media,Product Page,458,2,0,0
880,1857,25-34,Male,Desktop,Organic Search,Pricing,121,8,0,1
881,1530,18-24,Female,Mobile,Social Media,Homepage,235,3,0,1
882,1038,25-34,Female,Desktop,Organic Search,Homepage,85,8,0,1
883,1125,35-44,Male,Mobile,Social Media,Cart,31,5,0,1
884,1450,35-44,Female,Desktop,Direct,Homepage,158,2,0,1
885,1172,25-34,Male,Mobile,Organic Search,Cart,39,3,1,1
886,1652,45-54,Other,Mobile,Referral,Blog,110,6,0,1
887,1753,18-24,Male,Desktop,Organic Search,Product Page,371,4,1,0
888,1219,25-34,Female,Mobile,Organic Search,Blog,16,5,0,1
889,1637,35-44,Male,Mobile,Direct,Pricing,5,8,0,1
890,1057,35-44,Other,Tablet,Social Media,Homepage,167,7,0,1
891,1659,35-44,Male,Mobile,Social Media,Blog,72,5,0,1
892,1475,25-34,Other,Tablet,Organic Search,Pricing,97,6,0,1
893,1455,18-24,Other,Mobile,Referral,Homepage,93,5,1,1
894,1828,35-44,Male,Mobile,Direct,Homepage,16,3,0,1
895,1894,25-34,Female,Desktop,Organic Search,Homepage,0,4,0,1
896,1360,18-24,Other,Desktop,Social Media,Homepage,411,5,0,1
897,1934,35-44,Male,Mobile,Referral,Homepage,44,7,0,1
898,1000,25-34,Male,Mobile,Social Media,Blog,99,4,0,1
899,1386,35-44,Female,Desktop,Organic Search,Product Page,643,9,0,1
900,1972,45-54,Male,Mobile,Social Media,Pricing,315,4,0,1
901,1347,18-24,Male,Mobile,Organic Search,Homepage,20,6,1,1
902,1189,18-24,Male,Mobile,Social Media,Product Page,127,3,0,1
903,1504,35-44,Male,Mobile,Referral,Product Page,235,8,1,1
904,1190,35-44,Male,Mobile,Social Media,Pricing,215,3,0,1
905,1507,35-44,Male,Mobile,Social Media,Product Page,257,6,0,1
906,1368,45-54,Female,Mobile,Paid Ads,Product Page,110,7,0,1
907,1408,45-54,Female,Mobile,Social Media,Pricing,34,5,0,1
908,1823,55+,Male,Mobile,Social Media,Product Page,112,1,0,1
909,1928,25-34,Female,Desktop,Organic Search,Homepage,187,4,0,1
910,1933,25-34,Female,Mobile,Direct,Product Page,168,5,0,1
911,1116,25-34,Other,Desktop,Social Media,Blog,13,4,0,1
912,1133,18-24,Male,Desktop,Social Media,Homepage,12,5,1,1
913,1057,25-34,Male,Mobile,Paid Ads,Product Page,604,2,0,1
914,1555,25-34,Other,Desktop,Referral,Product Page,29,3,0,1
915,1684,45-54,Other,Mobile,Direct,Cart,62,6,1,1
916,1671,25-34,Female,Desktop,Social Media,Homepage,262,4,0,1
917,1172,25-34,Female,Tablet,Social Media,Homepage,94,4,0,1
918,1828,25-34,Male,Mobile,Organic Search,Product Page,36,6,0,1
919,1814,18-24,Female,Desktop,Organic Search,Product Page,113,4,0,1
920,1148,18-24,Male,Mobile,Direct,Blog,151,3,0,1
921,1079,25-34,Male,Mobile,Social Media,Product Page,108,7,0,1
922,1885,18-24,Female,Desktop,Referral,Blog,452,8,0,1
923,1212,35-44,Male,Mobile,Organic Search,Pricing,60,4,0,1
924,1202,45-54,Female,Mobile,Social Media,Cart,194,5,0,1
925,1763,45-54,Other,Mobile,Direct,Product Page,21,9,0,1
926,1228,35-44,Male,Desktop,Social Media,Cart,89,6,0,1
927,1675,18-24,Other,Mobile,Referral,Homepage,243,2,0,1
928,1226,45-54,Other,Tablet,Paid Ads,Blog,45,5,0,1
929,1658,45-54,Female,Mobile,Organic Search,Product Page,160,5,0,1
930,1531,18-24,Male,Mobile,Organic Search,Pricing,29,6,1,1
931,1440,35-44,Male,Desktop,Organic Search,Product Page,19,5,0,0
932,1401,25-34,Male,Mobile,Direct,Blog,133,3,0,1
933,1046,45-54,Male,Desktop,Social Media,Cart,202,5,0,1
934,1232,55+,Male,Mobile,Direct,Blog,21,3,0,1
935,1304,18-24,Other,Mobile,Social Media,Blog,449,4,1,1
936,1525,45-54,Male,Mobile,Direct,Homepage,46,5,1,1
937,1142,35-44,Female,Tablet,Direct,Homepage,23,4,1,1
938,1414,55+,Male,Mobile,Social Media,Cart,40,8,0,1
939,1512,25-34,Female,Desktop,Social Media,Blog,33,6,0,1
940,1372,45-54,Other,Mobile,Organic Search,Product Page,17,6,0,1
941,1565,18-24,Male,Mobile,Social Media,Product Page,287,8,1,0
942,1885,25-34,Male,Mobile,Social Media,Homepage,123,7,0,1
943,1258,18-24,Female,Tablet,Social Media,Product Page,88,6,1,0
944,1655,55+,Female,Desktop,Paid Ads,Product Page,541,11,0,1
945,1470,45-54,Female,Desktop,Paid Ads,Homepage,83,6,1,0
946,1952,45-54,Male,Mobile,Referral,Homepage,32,4,0,1
947,1970,45-54,Male,Mobile,Social Media,Product Page,57,3,0,1
948,1011,18-24,Other,Mobile,Direct,Product Page,49,2,0,1
949,1329,25-34,Other,Tablet,Social Media,Homepage,124,6,1,1
950,1735,18-24,Female,Mobile,Organic Search,Product Page,62,10,1,1
951,1783,18-24,Female,Mobile,Organic Search,Cart,130,4,1,1
952,1967,18-24,Female,Mobile,Organic Search,Product Page,199,6,0,1
953,1357,25-34,Male,Mobile,Organic Search,Pricing,270,6,0,1
954,1971,25-34,Male,Mobile,Social Media,Cart,222,4,1,1
955,1407,18-24,Male,Desktop,Paid Ads,Homepage,41,8,0,1
956,1667,18-24,Female,Mobile,Organic Search,Homepage,22,3,0,1
957,1372,18-24,Male,Desktop,Paid Ads,Product Page,140,10,1,0
958,1007,55+,Male,Desktop,Organic Search,Product Page,39,7,0,1
959,1121,35-44,Female,Mobile,Organic Search,Product Page,15,4,0,0
960,1347,55+,Female,Mobile,Social Media,Product Page,134,1,0,1
961,1675,25-34,Female,Mobile,Direct,Product Page,71,10,0,1
962,1089,25-34,Other,Tablet,Organic Search,Homepage,254,8,0,1
963,1647,35-44,Male,Mobile,Organic Search,Cart,67,5,0,1
964,1697,25-34,Female,Mobile,Social Media,Homepage,692,2,0,1
965,1315,25-34,Female,Mobile,Organic Search,Cart,255,6,1,1
966,1177,18-24,Female,Mobile,Direct,Homepage,10,6,1,1
967,1539,18-24,Male,Mobile,Social Media,Homepage,127,3,1,1
968,1731,25-34,Male,Mobile,Organic Search,Homepage,148,6,0,1
969,1868,25-34,Female,Desktop,Referral,Cart,213,6,0,1
970,1040,35-44,Female,Desktop,Organic Search,Homepage,123,6,0,1
971,1739,18-24,Female,Mobile,Direct,Product Page,118,3,0,1
972,1703,18-24,Female,Mobile,Direct,Pricing,82,3,0,1
973,1922,45-54,Female,Desktop,Paid Ads,Blog,57,6,0,1
974,1501,18-24,Female,Mobile,Social Media,Product Page,526,7,0,1
975,1958,25-34,Female,Desktop,Direct,Cart,68,5,0,1
976,1144,45-54,Male,Mobile,Organic Search,Pricing,11,2,0,1
977,1200,18-24,Female,Desktop,Direct,Product Page,32,4,1,1
978,1928,18-24,Female,Mobile,Social Media,Product Page,350,5,0,1
979,1723,25-34,Male,Mobile,Social Media,Cart,159,7,1,0
980,1460,25-34,Male,Desktop,Referral,Cart,271,4,0,1
981,1731,25-34,Male,Mobile,Organic Search,Product Page,297,5,0,1
982,1751,45-54,Other,Mobile,Referral,Pricing,311,11,1,1
983,1924,18-24,Male,Mobile,Referral,Product Page,143,4,0,1
984,1908,25-34,Female,Desktop,Social Media,Product Page,35,3,0,1
985,1557,25-34,Male,Mobile,Social Media,Homepage,28,11,0,1
986,1546,18-24,Male,Desktop,Social Media,Homepage,153,8,0,1
987,1252,35-44,Female,Mobile,Paid Ads,Blog,82,5,0,1
988,1389,25-34,Male,Mobile,Organic Search,Product Page,146,5,0,1
989,1593,25-34,Female,Desktop,Social Media,Homepage,124,6,0,1
990,1882,18-24,Female,Mobile,Direct,Product Page,165,5,0,1
991,1255,25-34,Female,Mobile,Paid Ads,Product Page,5,2,0,1
992,1708,25-34,Male,Mobile,Direct,Cart,6,7,1,0
993,1814,45-54,Female,Mobile,Direct,Pricing,230,5,0,1
994,1920,18-24,Female,Desktop,Organic Search,Product Page,38,5,0,1
995,1449,25-34,Female,Mobile,Social Media,Cart,190,3,0,1
996,1009,25-34,Female,Mobile,Organic Search,Product Page,142,3,1,1
997,1823,35-44,Female,Mobile,Referral,Blog,721,3,1,1
998,1797,25-34,Other,Mobile,Direct,Cart,324,7,0,1
999,1241,35-44,Female,Mobile,Direct,Product Page,95,2,0,1
1000,1250,35-44,Male,Tablet,Direct,Blog,172,8,1,1
1001,1876,45-54,Male,Desktop,Social Media,Homepage,22,4,0,0
1002,1004,25-34,Male,Mobile,Organic Search,Homepage,87,3,1,1
1003,1118,25-34,Male,Mobile,Organic Search,Product Page,238,5,1,1
1004,1800,45-54,Male,Tablet,Organic Search,Cart,175,11,0,0
1005,1373,55+,Male,Mobile,Direct,Product Page,119,4,1,1
1006,1064,45-54,Female,Mobile,Organic Search,Cart,34,5,0,1
1007,1145,25-34,Male,Desktop,Direct,Cart,292,7,1,1
1008,1223,18-24,Female,Mobile,Direct,Homepage,57,6,0,0
1009,1238,25-34,Male,Mobile,Social Media,Product Page,309,5,0,1
1010,1176,35-44,Male,Tablet,Organic Search,Product Page,170,4,1,0
1011,1778,25-34,Male,Desktop,Organic Search,Product Page,83,5,0,1
1012,1852,25-34,Male,Mobile,Organic Search,Homepage,7,5,1,0
1013,1281,45-54,Female,Mobile,Direct,Cart,47,6,1,1
1014,1062,25-34,Female,Mobile,Organic Search,Blog,395,4,0,1
1015,1216,45-54,Male,Desktop,Referral,Product Page,306,4,0,1
1016,1853,25-34,Female,Mobile,Direct,Product Page,153,6,0,1
1017,1826,25-34,Female,Mobile,Organic Search,Homepage,113,4,0,1
1018,1794,25-34,Female,Tablet,Direct,Product Page,187,6,0,1
1019,1688,35-44,Female,Mobile,Direct,Cart,113,5,0,1
1020,1460,18-24,Female,Mobile,Direct,Pricing,186,2,1,1
1021,1928,18-24,Female,Mobile,Organic Search,Product Page,66,5,1,0
1022,1609,55+,Female,Mobile,Organic Search,Product Page,328,8,0,1
1023,1104,18-24,Male,Mobile,Organic Search,Blog,217,5,1,1
1024,1098,25-34,Male,Tablet,Social Media,Product Page,72,4,1,1
1025,1510,25-34,Other,Desktop,Direct,Homepage,319,9,0,0
1026,1384,25-34,Female,Mobile,Direct,Product Page,120,5,0,1
1027,1404,35-44,Female,Mobile,Paid Ads,Product Page,34,9,0,1
1028,1822,18-24,Female,Mobile,Organic Search,Homepage,14,3,0,1
1029,1517,25-34,Male,Mobile,Organic Search,Homepage,216,10,0,1
1030,1475,25-34,Female,Mobile,Direct,Homepage,360,2,0,1
1031,1976,35-44,Female,Tablet,Organic Search,Product Page,296,4,1,1
1032,1708,18-24,Male,Mobile,Organic Search,Product Page,191,2,0,0
1033,1862,25-34,Female,Mobile,Social Media,Homepage,27,5,1,1
1034,1644,18-24,Female,Mobile,Organic Search,Homepage,17,7,0,1
1035,1869,25-34,Male,Mobile,Direct,Pricing,76,5,0,1
1036,1770,18-24,Female,Mobile,Organic Search,Homepage,347,7,0,1
1037,1436,18-24,Male,Mobile,Direct,Product Page,587,6,1,1
1038,1022,45-54,Female,Mobile,Referral,Cart,49,2,0,0
1039,1996,25-34,Male,Desktop,Organic Search,Product Page,258,4,0,1
1040,1564,45-54,Female,Mobile,Paid Ads,Blog,153,5,1,1
1041,1676,55+,Female,Mobile,Social Media,Product Page,5,4,0,1
1042,1713,25-34,Male,Mobile,Paid Ads,Homepage,140,5,1,1
1043,1457,18-24,Other,Desktop,Organic Search,Product Page,295,1,0,1
1044,1082,25-34,Other,Mobile,Direct,Product Page,58,4,1,1
1045,1144,35-44,Male,Mobile,Social Media,Homepage,409,6,0,1
1046,1084,25-34,Male,Mobile,Direct,Product Page,48,4,0,1
1047,1077,18-24,Other,Desktop,Direct,Cart,14,2,0,0
1048,1456,25-34,Other,Mobile,Social Media,Homepage,31,6,0,1
1049,1877,45-54,Male,Mobile,Paid Ads,Product Page,326,6,1,1
1050,1000,35-44,Male,Mobile,Social Media,Product Page,97,3,0,1
1051,1050,18-24,Male,Mobile,Organic Search,Pricing,286,4,1,1
1052,1684,35-44,Other,Mobile,Direct,Pricing,136,6,0,1
1053,1716,18-24,Male,Mobile,Direct,Blog,117,6,0,0
1054,1771,18-24,Female,Desktop,Social Media,Product Page,296,3,0,1
1055,1445,45-54,Female,Desktop,Social Media,Homepage,99,4,0,0
1056,1448,18-24,Male,Mobile,Paid Ads,Product Page,291,4,0,1
1057,1880,25-34,Female,Mobile,Direct,Blog,19,4,1,1
1058,1487,18-24,Male,Mobile,Organic Search,Blog,182,4,0,1
1059,1799,45-54,Female,Mobile,Organic Search,Cart,218,4,0,1
1060,1033,35-44,Male,Desktop,Paid Ads,Product Page,412,5,1,1
1061,1347,35-44,Female,Tablet,Direct,Product Page,45,6,0,1
1062,1094,35-44,Female,Mobile,Paid Ads,Product Page,166,6,0,1
1063,1071,18-24,Male,Mobile,Organic Search,Homepage,102,4,1,1
1064,1550,25-34,Male,Mobile,Direct,Product Page,86,3,0,1
1065,1153,25-34,Male,Desktop,Direct,Product Page,20,10,1,1
1066,1249,18-24,Male,Desktop,Organic Search,Cart,25,2,0,0
1067,1673,25-34,Female,Desktop,Social Media,Product Page,326,6,0,1
1068,1437,45-54,Female,Desktop,Direct,Cart,249,3,1,1
1069,1117,18-24,Female,Mobile,Social Media,Product Page,86,2,1,1
1070,1770,25-34,Female,Desktop,Referral,Homepage,317,4,0,1
1071,1890,18-24,Female,Desktop,Referral,Homepage,15,4,0,0
1072,1305,18-24,Female,Mobile,Referral,Homepage,176,4,0,0
1073,1267,45-54,Male,Mobile,Referral,Product Page,364,5,1,0
1074,1960,25-34,Male,Desktop,Social Media,Homepage,328,3,1,1
1075,1053,25-34,Male,Mobile,Social Media,Product Page,83,4,0,1
1076,1235,35-44,Female,Desktop,Referral,Cart,246,7,1,1
1077,1388,18-24,Male,Desktop,Social Media,Blog,100,5,0,1
1078,1989,25-34,Male,Desktop,Organic Search,Blog,330,4,0,1
1079,1733,25-34,Male,Desktop,Social Media,Homepage,136,8,0,0
1080,1762,25-34,Female,Mobile,Organic Search,Product Page,260,5,0,1
1081,1824,55+,Male,Desktop,Direct,Homepage,14,6,1,1
1082,1400,35-44,Male,Mobile,Organic Search,Pricing,160,5,0,0
1083,1623,25-34,Male,Mobile,Organic Search,Homepage,143,2,1,1
1084,1766,45-54,Male,Mobile,Paid Ads,Product Page,169,3,1,1
1085,1302,18-24,Female,Mobile,Direct,Product Page,214,5,0,1
1086,1918,18-24,Male,Mobile,Direct,Product Page,450,9,1,1
1087,1206,18-24,Male,Tablet,Direct,Pricing,277,9,0,1
1088,1228,25-34,Female,Mobile,Referral,Homepage,44,4,1,1
1089,1852,25-34,Male,Mobile,Direct,Product Page,314,3,1,1
1090,1909,35-44,Male,Mobile,Social Media,Blog,23,3,0,1
1091,1577,45-54,Female,Mobile,Paid Ads,Product Page,175,3,1,1
1092,1074,25-34,Male,Desktop,Organic Search,Product Page,385,7,0,1
1093,1434,25-34,Male,Mobile,Paid Ads,Homepage,19,4,0,1
1094,1102,18-24,Male,Desktop,Social Media,Blog,341,7,1,1
1095,1421,18-24,Female,Desktop,Social Media,Cart,288,3,0,1
1096,1703,25-34,Female,Mobile,Organic Search,Product Page,126,5,1,1
1097,1763,25-34,Female,Desktop,Social Media,Pricing,66,5,1,1
1098,1737,45-54,Female,Mobile,Direct,Product Page,93,5,0,0
1099,1805,18-24,Male,Mobile,Paid Ads,Homepage,623,5,0,1
1100,1305,18-24,Male,Desktop,Paid Ads,Homepage,40,5,0,1
1101,1097,25-34,Female,Desktop,Paid Ads,Blog,155,4,0,1
1102,1849,18-24,Other,Mobile,Organic Search,Product Page,15,8,0,1
1103,1797,18-24,Male,Mobile,Paid Ads,Blog,44,3,1,0
1104,1334,35-44,Female,Mobile,Social Media,Blog,259,3,0,1
1105,1858,18-24,Male,Mobile,Referral,Cart,64,3,0,1
1106,1434,35-44,Male,Tablet,Organic Search,Product Page,765,4,0,1
1107,1446,25-34,Male,Mobile,Social Media,Product Page,125,3,0,1
1108,1993,18-24,Male,Mobile,Paid Ads,Homepage,130,6,1,1
1109,1307,25-34,Female,Desktop,Paid Ads,Product Page,6,3,0,1
1110,1248,45-54,Female,Mobile,Direct,Pricing,564,3,0,1
1111,1165,25-34,Male,Mobile,Direct,Homepage,34,9,1,1
1112,1480,35-44,Male,Tablet,Organic Search,Cart,139,8,0,1
1113,1983,18-24,Female,Desktop,Direct,Cart,90,7,0,1
1114,1334,35-44,Male,Desktop,Direct,Product Page,96,2,1,1
1115,1541,18-24,Female,Mobile,Organic Search,Product Page,185,4,0,1
1116,1758,35-44,Male,Desktop,Organic Search,Homepage,195,4,0,1
1117,1105,25-34,Female,Mobile,Organic Search,Homepage,30,6,1,1
1118,1562,45-54,Male,Mobile,Direct,Homepage,124,3,0,1
1119,1080,25-34,Male,Tablet,Organic Search,Product Page,281,4,0,1
1120,1132,18-24,Male,Mobile,Social Media,Homepage,105,3,1,0
1121,1796,18-24,Male,Desktop,Social Media,Blog,32,7,1,1
1122,1899,45-54,Male,Mobile,Social Media,Product Page,67,6,0,1
1123,1137,25-34,Female,Mobile,Direct,Homepage,42,8,0,1
1124,1183,35-44,Male,Desktop,Direct,Product Page,24,2,0,1
1125,1400,18-24,Male,Mobile,Social Media,Cart,85,3,1,1
1126,1329,25-34,Female,Desktop,Social Media,Blog,140,7,0,1
1127,1784,18-24,Female,Mobile,Social Media,Product Page,13,7,0,1
1128,1507,55+,Other,Tablet,Referral,Blog,166,2,0,1
1129,1851,35-44,Female,Mobile,Organic Search,Blog,893,3,0,1
1130,1983,45-54,Female,Mobile,Organic Search,Pricing,598,6,1,1
1131,1068,25-34,Female,Mobile,Direct,Homepage,318,3,0,1
1132,1545,35-44,Other,Tablet,Social Media,Pricing,55,4,0,1
1133,1773,35-44,Female,Desktop,Referral,Product Page,4,5,0,1
1134,1052,25-34,Male,Desktop,Organic Search,Cart,322,5,0,1
1135,1449,45-54,Male,Mobile,Direct,Homepage,10,7,0,1
1136,1204,45-54,Male,Mobile,Organic Search,Cart,41,2,0,1
1137,1125,45-54,Female,Mobile,Social Media,Cart,141,9,0,1
1138,1746,35-44,Female,Mobile,Organic Search,Homepage,35,3,1,1
1139,1042,25-34,Female,Mobile,Referral,Cart,323,8,0,1
1140,1751,25-34,Male,Tablet,Paid Ads,Homepage,270,5,1,1
1141,1970,55+,Female,Desktop,Social Media,Homepage,253,5,1,1
1142,1882,18-24,Female,Mobile,Referral,Product Page,304,2,0,0
1143,1110,35-44,Male,Mobile,Direct,Cart,44,4,0,1
1144,1760,35-44,Female,Desktop,Paid Ads,Product Page,234,7,0,1
1145,1662,35-44,Male,Mobile,Referral,Product Page,79,8,0,1
1146,1182,55+,Female,Mobile,Organic Search,Blog,197,7,1,1
1147,1847,25-34,Female,Mobile,Direct,Cart,23,9,0,1
1148,1094,25-34,Female,Mobile,Social Media,Blog,220,5,0,1
1149,1970,18-24,Female,Desktop,Organic Search,Homepage,644,3,0,1
1150,1373,25-34,Female,Mobile,Organic Search,Product Page,8,3,0,1
1151,1911,25-34,Female,Mobile,Paid Ads,Homepage,17,7,1,1
1152,1519,25-34,Male,Mobile,Paid Ads,Product Page,23,6,0,1
1153,1899,45-54,Female,Desktop,Direct,Homepage,101,6,0,1
1154,1359,45-54,Male,Mobile,Paid Ads,Homepage,61,8,0,1
1155,1899,18-24,Male,Mobile,Referral,Pricing,296,3,0,1
1156,1695,25-34,Female,Tablet,Organic Search,Product Page,115,2,0,1
1157,1280,45-54,Female,Tablet,Organic Search,Product Page,119,3,0,1
1158,1194,18-24,Male,Tablet,Organic Search,Product Page,227,7,0,1
1159,1863,18-24,Male,Desktop,Organic Search,Homepage,80,10,0,1
1160,1194,18-24,Male,Mobile,Organic Search,Product Page,78,5,0,1
1161,1666,25-34,Male,Mobile,Social Media,Product Page,254,7,0,1
1162,1092,18-24,Male,Mobile,Referral,Pricing,272,3,0,0
1163,1671,55+,Female,Mobile,Referral,Product Page,2,5,0,1
1164,1945,25-34,Male,Tablet,Direct,Product Page,27,4,1,1
1165,1060,25-34,Female,Desktop,Paid Ads,Blog,43,2,0,1
1166,1633,18-24,Male,Desktop,Social Media,Blog,77,6,1,1
1167,1050,25-34,Other,Mobile,Referral,Blog,62,4,1,1
1168,1402,35-44,Male,Tablet,Social Media,Cart,198,3,1,1
1169,1788,35-44,Male,Desktop,Organic Search,Blog,316,4,1,1
1170,1004,35-44,Male,Mobile,Paid Ads,Product Page,38,6,1,1
1171,1465,25-34,Female,Desktop,Social Media,Pricing,148,2,0,1
1172,1603,45-54,Female,Mobile,Social Media,Product Page,82,3,1,1
1173,1681,45-54,Male,Mobile,Organic Search,Homepage,126,1,0,1
1174,1828,35-44,Male,Desktop,Direct,Product Page,174,2,0,1
1175,1533,18-24,Male,Desktop,Paid Ads,Homepage,403,3,1,1
1176,1404,18-24,Female,Mobile,Organic Search,Homepage,38,5,0,1
1177,1837,18-24,Female,Mobile,Referral,Homepage,16,7,0,0
1178,1512,35-44,Male,Tablet,Organic Search,Homepage,177,4,1,1
1179,1644,25-34,Male,Desktop,Social Media,Pricing,90,3,0,1
1180,1232,25-34,Male,Desktop,Organic Search,Cart,32,7,0,1
1181,1523,45-54,Male,Mobile,Direct,Product Page,22,3,0,1
1182,1345,45-54,Female,Mobile,Organic Search,Pricing,147,6,1,1
1183,1045,45-54,Male,Mobile,Social Media,Homepage,64,9,1,1
1184,1545,25-34,Male,Mobile,Organic Search,Cart,1073,4,1,1
1185,1944,35-44,Male,Mobile,Organic Search,Product Page,93,5,0,1
1186,1077,25-34,Other,Mobile,Direct,Homepage,42,5,0,1
1187,1729,18-24,Female,Mobile,Organic Search,Homepage,178,7,1,0
1188,1812,18-24,Male,Mobile,Organic Search,Product Page,50,5,1,0
1189,1922,25-34,Male,Desktop,Organic Search,Homepage,122,7,0,1
1190,1072,25-34,Male,Mobile,Social Media,Product Page,118,6,0,1
1191,1793,45-54,Female,Mobile,Direct,Homepage,108,5,0,1
1192,1248,18-24,Male,Mobile,Organic Search,Homepage,286,8,1,1
1193,1046,35-44,Female,Mobile,Organic Search,Homepage,43,10,1,1
1194,1120,25-34,Female,Mobile,Social Media,Cart,422,7,0,0
1195,1213,25-34,Female,Tablet,Organic Search,Homepage,282,5,0,1
1196,1238,25-34,Male,Desktop,Referral,Homepage,72,4,0,1
1197,1055,25-34,Female,Mobile,Direct,Blog,35,5,1,1
1198,1349,25-34,Female,Mobile,Direct,Pricing,59,6,1,1
1199,1106,25-34,Male,Mobile,Organic Search,Product Page,72,4,0,1
1200,1830,18-24,Male,Desktop,Direct,Pricing,146,6,0,1
1201,1047,18-24,Male,Mobile,Referral,Product Page,8,3,0,1
1202,1572,25-34,Male,Mobile,Social Media,Homepage,442,6,0,1
1203,1336,45-54,Male,Desktop,Direct,Product Page,18,4,1,1
1204,1025,25-34,Female,Desktop,Direct,Product Page,58,3,0,0
1205,1803,35-44,Male,Desktop,Social Media,Product Page,20,1,1,1
1206,1256,35-44,Other,Desktop,Organic Search,Blog,53,5,0,1
1207,1007,45-54,Male,Tablet,Direct,Homepage,327,7,0,1
1208,1624,45-54,Other,Mobile,Organic Search,Blog,171,4,1,1
1209,1866,25-34,Male,Mobile,Direct,Product Page,46,4,0,1
1210,1252,35-44,Female,Desktop,Referral,Product Page,369,5,1,1
1211,1691,45-54,Male,Desktop,Referral,Product Page,290,6,1,1
1212,1718,25-34,Male,Tablet,Social Media,Blog,252,3,0,1
1213,1302,25-34,Female,Mobile,Organic Search,Homepage,338,2,0,1
1214,1638,18-24,Male,Mobile,Organic Search,Pricing,173,3,1,1
1215,1055,45-54,Female,Mobile,Direct,Blog,125,10,0,1
1216,1725,45-54,Female,Mobile,Referral,Homepage,84,5,0,1
1217,1525,18-24,Female,Mobile,Direct,Cart,45,2,1,1
1218,1473,25-34,Female,Desktop,Organic Search,Blog,146,6,1,1
1219,1027,25-34,Female,Mobile,Paid Ads,Product Page,396,4,1,1
1220,1982,18-24,Male,Desktop,Paid Ads,Homepage,162,3,0,1
1221,1077,55+,Female,Desktop,Social Media,Product Page,453,6,1,1
1222,1215,18-24,Female,Mobile,Social Media,Homepage,79,6,1,1
1223,1385,18-24,Male,Mobile,Direct,Product Page,213,2,0,1
1224,1364,25-34,Male,Desktop,Direct,Product Page,188,4,0,1
1225,1665,35-44,Female,Desktop,Paid Ads,Blog,199,8,0,1
1226,1525,18-24,Male,Desktop,Organic Search,Homepage,186,9,1,0
1227,1698,35-44,Male,Desktop,Social Media,Pricing,45,5,1,1
1228,1311,25-34,Male,Tablet,Direct,Product Page,27,6,0,1
1229,1882,18-24,Female,Mobile,Referral,Product Page,692,5,0,1
1230,1006,18-24,Male,Tablet,Referral,Blog,8,2,1,1
1231,1002,25-34,Female,Desktop,Paid Ads,Product Page,113,8,0,0
1232,1622,25-34,Female,Desktop,Social Media,Product Page,99,4,0,1
1233,1918,45-54,Male,Mobile,Referral,Product Page,80,5,0,1
1234,1749,45-54,Female,Tablet,Social Media,Product Page,274,4,0,1
1235,1362,55+,Other,Mobile,Social Media,Product Page,246,5,0,1
1236,1750,25-34,Female,Desktop,Organic Search,Product Page,424,7,0,1
1237,1507,55+,Female,Mobile,Referral,Blog,90,6,0,1
1238,1273,25-34,Male,Mobile,Paid Ads,Product Page,149,5,0,0
1239,1505,25-34,Female,Mobile,Organic Search,Homepage,401,5,1,1
1240,1805,18-24,Male,Mobile,Organic Search,Product Page,916,3,1,1
1241,1738,18-24,Male,Mobile,Referral,Homepage,626,7,1,1
1242,1882,35-44,Male,Desktop,Direct,Product Page,227,6,1,1
1243,1014,25-34,Male,Mobile,Paid Ads,Product Page,27,7,0,1
1244,1191,18-24,Female,Mobile,Organic Search,Product Page,4,9,0,1
1245,1984,35-44,Male,Mobile,Organic Search,Blog,313,4,0,1
1246,1630,25-34,Female,Mobile,Social Media,Homepage,330,8,1,1
1247,1484,25-34,Female,Mobile,Organic Search,Cart,246,5,0,1
1248,1027,25-34,Female,Mobile,Organic Search,Product Page,59,6,0,1
1249,1713,45-54,Male,Mobile,Organic Search,Product Page,183,4,0,0
1250,1038,45-54,Female,Desktop,Organic Search,Blog,68,5,1,1
1251,1952,25-34,Male,Mobile,Organic Search,Pricing,107,6,0,1
1252,1272,25-34,Male,Mobile,Paid Ads,Product Page,86,10,0,1
1253,1230,25-34,Other,Mobile,Organic Search,Blog,440,5,1,0
1254,1085,45-54,Male,Tablet,Social Media,Pricing,48,7,1,1
1255,1473,25-34,Male,Mobile,Referral,Blog,155,5,0,1
1256,1125,18-24,Female,Mobile,Direct,Homepage,80,6,0,0
1257,1811,18-24,Male,Mobile,Direct,Pricing,195,5,0,1
1258,1536,25-34,Female,Mobile,Direct,Blog,149,6,1,0
1259,1144,25-34,Male,Mobile,Referral,Blog,463,4,0,1
1260,1524,45-54,Male,Mobile,Referral,Blog,19,3,0,1
